school;ageGroupFrom;ageGroupTo;level;lecturer;lesson;type;day;time;link;address;PSC;"city_part
";latitude;longitude
Contemporary;10;12;;Vendula Poznarová;Choreo Lab;kurz;Úterı;16:30 - 17:30;https://contemporary.cz/index.php?page=detail&did=92;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;15;;Barbora Rokoszová;Contemporary;kurz;Pátek;16:30 - 18:00;https://contemporary.cz/index.php?page=detail&did=31;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;16;;Adéla Koubková;BALET soutìní soubor HOT SHENOSE;kurz;Ètvrtek;16:00 - 17:30;https://contemporary.cz/index.php?page=detail&did=30;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;16;;Eva Šleisová;CONTEMPORARY soutìní soubor HOT SHENOSE;kurz;Ètvrtek;17:30 - 18:30;https://contemporary.cz/index.php?page=detail&did=30;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;16;;Eva Šleisová;CONTEMPORARY soutìní soubor HOT SHENOSE;kurz;Pondìlí;16:45 - 18:15;https://contemporary.cz/index.php?page=detail&did=30;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;16;;all levels;GYMNASTIKA soutìní soubor HOT SHENOSE;kurz;"Úterı 
";16:45 - 18:00;https://contemporary.cz/index.php?page=detail&did=30;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;17;;Eva Šleisová;Street jazz;kurz;Pondìlí;"15:45 - 16:45
";https://contemporary.cz/index.php?page=detail&did=59;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;12;17;;Petra Hájková;Improvizace;kurz;Pátek;15:30 - 16:30;https://contemporary.cz/index.php?page=detail&did=57;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;13;99;;Petra Dìdková;Moderna;kurz;Støeda;16:30 - 18:00;https://contemporary.cz/index.php?page=detail&did=49;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;15;99;;Barbora Rokoszová;Contemporary;kurz;Pátek;18:00 - 19:30;https://contemporary.cz/index.php?page=detail&did=32;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Fanda Èech;STREET JAZZ;open class;Pondìlí;19:30 - 20:30;https://contemporary.cz/index.php?page=detail&did=1;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Fanny Barrouqu?re;CONTEMPORARY;open class;Úterı;19:30 - 21:00;https://contemporary.cz/index.php?page=detail&did=83;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Fífa;HIP HOP CHOREO;open class;Støeda;19:30 - 20:30;https://contemporary.cz/index.php?page=detail&did=84;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Filip Stanìk;SMART BODY;open class;Nedìle;17:30 - 19:00;https://contemporary.cz/index.php?page=detail&did=12;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Filip Stanìk;SMART BODY;open class;Nedìle;19:00 - 20:30;https://contemporary.cz/index.php?page=detail&did=12;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;zaèáteèníci;Ginger;FEMME FUSION;open class;Úterı;18:30 - 19:30;https://contemporary.cz/index.php?page=detail&did=74;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;all levels;Káka;LITEFEET;open class;Pondìlí;18:30 - 19:30;https://contemporary.cz/index.php?page=detail&did=73;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Linda Ranèáková;CONTEMPORARY;open class;Ètvrtek;18:30 - 20:00;https://contemporary.cz/index.php?page=detail&did=2;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Sváa Kobzová;SVÁA STYL;open class;Ètvrtek;20:00 - 21:00;https://contemporary.cz/index.php?page=detail&did=85;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
Contemporary;18;99;mírnì pokr. a pokroèilí;Tukan;CONTEMPORARY FUSION;open class;Støeda;18:00 - 19:30;https://contemporary.cz/index.php?page=detail&did=33;Námìstí Míru 820/9;12000;Praha 2;50.0756294;14.4379411
